Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Angola,AGO,"Population, total",SP.POP.TOTL,15088981,15504318,15949766,16440924,16983266,17572649,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463
Antigua and Barbuda,ATG,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,77739,79851,81831,83584,85057,86266,87293,88257,89253,90301,91381,92478,93581,94661,95719,96777,97824,98875,99923,100963
Arab World,ARB,"Labor force, total",SL.TLF.TOTL.IN,76678130,78418820,81299424,83588481,85575070,87634804,90504535,93444014,96768576,100182027,104285189,108121955,111499427,115424170,118360432,121448601,124796602,126688290,129330976,131925883
Arab World,ARB,"Population, total",SP.POP.TOTL,266575075,272235146,277962869,283832016,289850357,296026575,302434519,309162029,316264728,323773264,331653797,339825483,348145094,356508908,364895878,373306993,381702086,390043028,398304960,406452690
Argentina,ARG,"Labor force, total",SL.TLF.TOTL.IN,15653101,15961436,16192192,16458400,16694710,16830712,17210175,17597867,17751236,18064580,18090391,18118705,18474862,18248453,18830069,19015971,19151572,19207364,19486951,19704082
Argentina,ARG,"Population, total",SP.POP.TOTL,35833969,36241590,36648068,37057452,37471509,37889370,38309379,38728696,39145488,39558890,39970224,40382389,40799407,41223889,41656879,42096739,42539925,42981515,43417765,43847430
Armenia,ARM,"Labor force, total",SL.TLF.TOTL.IN,1294450,1289196,1286912,1285259,1290071,1294489,1298703,1303286,1308394,1310512,1313226,1311694,1325693,1380524,1404422,1401345,1414410,1411931,1398274,1402993
Armenia,ARM,"Population, total",SP.POP.TOTL,3133086,3108684,3089017,3069588,3050655,3033897,3017806,3000612,2981259,2958500,2933056,2908220,2888584,2877311,2875581,2881922,2893509,2906220,2916950,2924816
Aruba,ABW,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Population, total",SP.POP.TOTL,85451,87277,89005,90853,92898,94992,97017,98737,100031,100832,101220,101353,101453,101669,102053,102577,103187,103795,104341,104822
Australia,AUS,"Labor force, total",SL.TLF.TOTL.IN,9220617,9322181,9416369,9603084,9789976,9947031,10126911,10247103,10556752,10801453,10969546,11259265,11494997,11692524,11859905,12026236,12205765,12355521,12592463,12741985
Australia,AUS,"Population, total",SP.POP.TOTL,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22742475,23145901,23504138,23850784,24210809
Austria,AUT,"Labor force, total",SL.TLF.TOTL.IN,3823947,3858935,3887965,3899183,3886923,3972924,3992277,3891230,4017205,4074463,4162650,4209485,4256778,4276558,4305299,4352343,4393513,4412005,4460834,4535197
Austria,AUT,"Population, total",SP.POP.TOTL,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668
Azerbaijan,AZE,"Labor force, total",SL.TLF.TOTL.IN,3340970,3386782,3439577,3508581,3586313,3663214,3742291,3829758,3927697,4021668,4123365,4260007,4390880,4472075,4540067,4626294,4700437,4788222,4873418,4966648
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812
"Bahamas, The",BHS,"Labor force, total",SL.TLF.TOTL.IN,149330,152132,155091,158124,163117,168364,173699,179253,185054,189997,195076,200382,205986,211925,216028,220582,225022,228988,232360,235445
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,286970,290060,293572,297890,303135,309157,315746,322526,329249,335830,342328,348676,354856,360832,366568,372039,377240,382169,386838,391232
Bahrain,BHR,"Labor force, total",SL.TLF.TOTL.IN,271342,280118,291227,305448,325858,349795,378726,413257,453396,501657,556576,614060,668183,714129,727110,740032,747939,758823,777898,816373
Bahrain,BHR,"Population, total",SP.POP.TOTL,594930,613702,636545,664614,697549,735148,778711,829848,889168,958414,1035891,1114590,1185029,1240862,1278269,1300217,1315411,1336397,1371855,1425171
Bangladesh,BGD,"Labor force, total",SL.TLF.TOTL.IN,43172218,44628349,46112850,47598773,48946794,50303954,51642722,52935998,54175076,55153622,56091457,57004748,57920440,58860664,59932582,61016510,62111483,63214859,64315695,65383994
Bangladesh,BGD,"Population, total",SP.POP.TOTL,123854640,126447965,129029691,131581243,134107160,136600667,139019001,141307489,143431101,145368004,147139191,148805814,150454708,152149102,153911916,155727053,157571292,159405279,161200886,162951560
Barbados,BRB,"Labor force, total",SL.TLF.TOTL.IN,143752,144304,144712,144991,146172,147195,148122,150322,150997,151471,151927,152299,152486,152250,152874,151111,153217,148959,150500,152668
Barbados,BRB,"Population, total",SP.POP.TOTL,266945,267950,268922,269847,270685,271478,272258,273091,274009,275039,276150,277319,278470,279569,280601,281585,282509,283385,284217,284996
Belarus,BLR,"Labor force, total",SL.TLF.TOTL.IN,4734066,4739762,4757665,4802442,4839071,4872922,4904624,4934871,4962595,4979529,5005628,5035410,5067067,5092010,5100899,5107252,5111689,5113318,5113974,5100187
Belarus,BLR,"Population, total",SP.POP.TOTL,10117000,10069000,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534
Belgium,BEL,"Labor force, total",SL.TLF.TOTL.IN,4218297,4255095,4367000,4411179,4307572,4350497,4381761,4465111,4616055,4634917,4722788,4766098,4788134,4887403,4871419,4912346,4968932,4984375,5000910,5004722
Belgium,BEL,"Population, total",SP.POP.TOTL,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11047744,11128246,11182817,11209057,11274196,11331422
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,76782,81011,85292,89462,93560,97633,101747,106027,110524,115926,121504,127233,133065,138942,145600,151971,155090,158175,161220,166784
Belize,BLZ,"Population, total",SP.POP.TOTL,221606,230284,239026,247315,254984,262206,269130,276089,283277,290747,298407,306165,313929,321608,329192,336701,344181,351694,359288,366954
Benin,BEN,"Labor force, total",SL.TLF.TOTL.IN,2488738,2563039,2639937,2720193,2800140,2884087,2983550,3084631,3186622,3279879,3374022,3469776,3568162,3669956,3771519,3887587,4008319,4133823,4264471,4397267
Benin,BEN,"Population, total",SP.POP.TOTL,6281639,6470265,6664098,6865951,7076733,7295394,7520555,7750004,7982225,8216896,8454791,8696916,8944706,9199259,9460802,9729160,10004451,10286712,10575952,10872298
Bermuda,BMU,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Population, total",SP.POP.TOTL,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65139,65239,65341
Bhutan,BTN,"Labor force, total",SL.TLF.TOTL.IN,190056,198120,207884,219105,234269,250989,268487,285786,302195,316034,328786,340498,351556,352752,352709,349247,361128,360141,380655,387787
Bhutan,BTN,"Population, total",SP.POP.TOTL,528754,542155,557543,573416,589600,606399,623434,640282,656639,672228,686958,700950,714458,727641,740510,752967,764961,776448,787386,797765
Bolivia,BOL,"Labor force, total",SL.TLF.TOTL.IN,3351429,3440151,3529476,3619879,3728987,3841508,3956829,4074072,4192826,4312839,4340127,4461403,4562872,4662547,4757848,4669681,4803674,5052899,4857588,4984659
Bolivia,BOL,"Population, total",SP.POP.TOTL,7870855,8026254,8182712,8339512,8496375,8653345,8810420,8967741,9125409,9283334,9441444,9599855,9758748,9918242,10078343,10239004,10400264,10562159,10724705,10887882
Bosnia and Herzegovina,BIH,"Labor force, total",SL.TLF.TOTL.IN,1471855,1469684,1472629,1476986,1481224,1488928,1498405,1507645,1520922,1526001,1526931,1524360,1519557,1511947,1493318,1472565,1450915,1429288,1413554,1409620
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3752431,3750485,3759118,3766706,3771284,3775807,3779247,3781287,3781530,3779468,3774000,3763599,3746561,3722084,3688865,3648200,3604999,3566002,3535961,3516816
Botswana,BWA,"Labor force, total",SL.TLF.TOTL.IN,601868,619040,628200,635691,658674,682037,705876,730338,755534,782726,799323,816294,833681,813670,891082,962234,1028360,1052477,1077373,1101759
Botswana,BWA,"Population, total",SP.POP.TOTL,1637635,1669625,1699862,1728340,1754935,1779953,1804339,1829330,1855852,1884238,1914414,1946351,1979882,2014866,2051339,2089315,2128507,2168573,2209197,2250260
Brazil,BRA,"Labor force, total",SL.TLF.TOTL.IN,73222937,75322303,77450662,79594358,81661448,84421018,86249044,88930591,90912552,92908412,93952059,95687739,97400070,97300825,97106421,98201510,99541859,100603554,102301658,103214044
Brazil,BRA,"Population, total",SP.POP.TOTL,167545164,170170640,172759243,175287587,177750670,180151021,182482149,184738458,186917361,189012412,191026637,192979029,194895996,196796269,198686688,200560983,202408632,204213133,205962108,207652865
British Virgin Islands,VGB,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,19270,19722,20188,20645,21085,21529,22000,22541,23168,23905,24731,25604,26447,27224,27901,28509,29056,29588,30113,30661
Brunei Darussalam,BRN,"Labor force, total",SL.TLF.TOTL.IN,140812,145941,151408,157080,161006,164986,169227,173619,178028,180858,183801,186985,190511,194390,199021,203502,207899,212311,215384,217847
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,312038,319222,326289,333241,340117,346867,353389,359523,365158,370250,374864,379252,383772,388662,394013,399748,405716,411704,417542,423196
Bulgaria,BGR,"Labor force, total",SL.TLF.TOTL.IN,3661232,3587909,3513846,3437082,3508796,3419546,3350106,3392853,3334372,3442126,3517645,3583298,3509649,3426004,3343906,3353729,3378725,3371015,3344317,3273146
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8312068,8256786,8210624,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822
Burkina Faso,BFA,"Labor force, total",SL.TLF.TOTL.IN,4495695,4593755,4695676,4801334,4895917,4996386,5101563,5211557,5324990,5428598,5544104,5662809,5783758,5906179,6017265,6131581,6246727,6360090,6571496,6787147
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,10665546,10968724,11282701,11607942,11944587,12293100,12654621,13030569,13421930,13829177,14252021,14689726,15141099,15605217,16081904,16571216,17072723,17585977,18110624,18646433
Burundi,BDI,"Labor force, total",SL.TLF.TOTL.IN,2647273,2653527,2677085,2714429,2802498,2905730,3020850,3142756,3267144,3388958,3513541,3639043,3764253,3888282,3983756,4081386,4181126,4283003,4424012,4572248
Burundi,BDI,"Population, total",SP.POP.TOTL,6112097,6186352,6278940,6400706,6555829,6741569,6953113,7182451,7423289,7675338,7939573,8212264,8489031,8766930,9043508,9319710,9600186,9891790,10199270,10524117
Cabo Verde,CPV,"Labor force, total",SL.TLF.TOTL.IN,139797,143565,147434,151429,156053,160687,165306,169759,174114,178657,183003,187380,191891,196391,200755,205417,210239,215093,219928,224850
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,408175,417323,426285,435079,443716,452106,460147,467664,474567,480795,486438,491723,496963,502384,508067,513979,520106,526437,532913,539560
Cambodia,KHM,"Labor force, total",SL.TLF.TOTL.IN,4941942,5171509,5420890,5579244,6160983,6335845,6463487,6545539,6807867,7083268,7358541,7635162,7893797,8146598,8307572,8477494,8647778,8812637,8967963,9125204
Cambodia,KHM,"Population, total",SP.POP.TOTL,11295880,11597739,11883636,12152354,12402473,12634729,12853124,13063377,13270201,13474489,13676693,13880509,14090208,14308740,14537886,14776866,15022692,15270790,15517635,15762370
Cameroon,CMR,"Labor force, total",SL.TLF.TOTL.IN,5922614,6084171,6253404,6430498,6606532,6791025,6984435,7187428,7400806,7614570,7840595,8077153,8322260,8574179,8825221,9084881,9352279,9627629,9910668,10196177
Cameroon,CMR,"Population, total",SP.POP.TOTL,14165423,14523570,14891891,15274234,15671927,16084886,16513822,16959081,17420795,17899562,18395389,18907008,19432541,19970495,20520447,21082383,21655715,22239904,22834522,23439189
Canada,CAN,"Labor force, total",SL.TLF.TOTL.IN,15445238,15698979,15986015,16235249,16492176,16944708,17361674,17583893,17734768,17912036,18274723,18573598,18709052,18913515,19059145,19264216,19504718,19601132,19733477,19926490
Canada,CAN,"Population, total",SP.POP.TOTL,29987200,30247900,30499200,30769700,31081900,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34750545,35152370,35535348,35832513,36264604
Cayman Islands,CYM,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,35597,37740,39808,41687,43316,44738,46028,47299,48622,50031,51483,52926,54279,55507,56579,57523,58371,59172,59963,60765
Central African Republic,CAF,"Labor force, total",SL.TLF.TOTL.IN,1448989,1482161,1515951,1550859,1580056,1609656,1640168,1670588,1701801,1730011,1758817,1786419,1810128,1828455,1833531,1832131,1830505,1829028,1833456,1855564
Central African Republic,CAF,"Population, total",SP.POP.TOTL,3517309,3597385,3676508,3754986,3832203,3907612,3981665,4055036,4127910,4201758,4275800,4345386,4404230,4448525,4476153,4490416,4499653,4515392,4546100,4594621
Chad,TCD,"Labor force, total",SL.TLF.TOTL.IN,2789188,2882835,2984167,3092958,3203478,3322884,3448378,3576382,3708247,3836695,3967955,4103925,4246442,4395388,4549278,4710196,4878863,5052851,5232367,5411573
Chad,TCD,"Population, total",SP.POP.TOTL,7493251,7759258,8041846,8342559,8663012,9001689,9353201,9710043,10067009,10421597,10775708,11133861,11502786,11887202,12288651,12705135,13133589,13569438,14009413,14452543
Channel Islands,CHI,"Labor force, total",SL.TLF.TOTL.IN,70644,71429,72320,72972,73629,74484,75193,75659,76501,77099,77679,78180,78764,79279,79058,79422,79755,80255,80690,80991
Channel Islands,CHI,"Population, total",SP.POP.TOTL,145715,146671,147687,148725,149793,150901,152038,153170,154294,155411,156513,157581,158603,159581,160497,161358,162180,162969,163758,164541
Chile,CHL,"Labor force, total",SL.TLF.TOTL.IN,5829969,5977579,6088782,6059995,6168517,6240491,6388231,6680371,6738518,6937896,7238105,7466172,7534841,8005342,8276686,8379169,8503214,8640594,8755232,8841540
Chile,CHL,"Population, total",SP.POP.TOTL,14694835,14887756,15076952,15262754,15444969,15623635,15799542,15973778,16147064,16319792,16491687,16661942,16829442,16993354,17153357,17309746,17462982,17613798,17762681,17909754
China,CHN,"Labor force, total",SL.TLF.TOTL.IN,709659006,717198752,725253179,734849258,740669268,747357876,754391730,760824124,766360863,770370795,774185350,777399187,779404706,779956733,782565087,784480961,785747229,786573327,787073203,787050042
China,CHN,"Population, total",SP.POP.TOTL,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000
Colombia,COL,"Labor force, total",SL.TLF.TOTL.IN,14940737,15536950,16146328,16763818,17406537,18049380,18695610,19352639,20023285,20681687,21357162,22041055,22718441,23318223,23993408,24690404,25001105,25321884,25773738,26020330
Colombia,COL,"Population, total",SP.POP.TOTL,38645411,39234062,39819279,40403958,40988909,41572491,42152151,42724163,43285634,43835722,44374572,44901544,45416181,45918097,46406646,46881475,47342981,47791911,48228697,48653419
Comoros,COM,"Labor force, total",SL.TLF.TOTL.IN,117662,121147,124702,128029,131618,135335,139202,143256,147462,151738,156327,161164,166133,171302,176500,181907,187471,193283,199301,205152
Comoros,COM,"Population, total",SP.POP.TOTL,501953,515385,528848,542357,555888,569479,583211,597228,611627,626425,641620,657229,673252,689692,706569,723868,741500,759385,777424,795601
"Congo, Dem. Rep.",COD,"Labor force, total",SL.TLF.TOTL.IN,17221312,17617575,18041943,18517562,19019366,19568668,20161969,20792332,21454895,22119643,22824378,23567154,24350550,25161388,25978726,26834662,27724675,28649762,29613110,30594477
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,43830146,44840529,45898667,47076387,48394338,49835756,51390033,53034217,54751476,56543011,58417562,60373608,62409435,64523263,66713597,68978682,71316033,73722860,76196619,78736153
"Congo, Rep.",COG,"Labor force, total",SL.TLF.TOTL.IN,1165057,1202236,1241820,1281008,1318591,1357425,1399171,1443710,1491337,1544069,1602535,1661952,1721011,1778110,1826034,1871491,1915819,1959944,2007089,2059688
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,2962470,3048453,3136344,3225727,3315806,3407180,3502519,3605439,3718243,3842365,3976246,4115435,4253712,4386693,4512730,4633363,4751393,4871101,4995648,5125821
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,1480606,1566144,1603613,1616228,1715417,1758312,1808814,1816444,1927456,1961761,2031009,2062200,2083466,2074923,2162195,2181973,2227090,2314225,2322227,2252807
Costa Rica,CRI,"Population, total",SP.POP.TOTL,3682725,3767373,3848723,3925443,3996798,4063204,4125971,4187038,4247841,4308794,4369469,4429508,4488263,4545280,4600474,4654122,4706401,4757575,4807852,4857274
Cote d'Ivoire,CIV,"Labor force, total",SL.TLF.TOTL.IN,5758639,5919904,6046665,6165381,6234839,6296159,6353591,6411916,6475346,6556256,6643909,6739504,6844066,6957112,7082245,7217611,7361291,7510643,7663648,7806149
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,15445986,15884552,16300233,16686561,17040152,17366517,17679355,17997738,18336303,18699435,19085941,19497986,19936366,20401331,20895311,21418603,21966312,22531350,23108472,23695919
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2052220,2010606,2025874,1963084,1960885,1932679,1944364,1995734,1995069,1979110,1993075,1997206,1993136,1967855,1877365,1857668,1837999,1890446,1893618,1833268
Croatia,HRV,"Population, total",SP.POP.TOTL,4572000,4501000,4554000,4426000,4440000,4440000,4440000,4439000,4442000,4440000,4436000,4434508,4429078,4417781,4280622,4267558,4255689,4238389,4203604,4174349
Cuba,CUB,"Labor force, total",SL.TLF.TOTL.IN,4428579,4450434,4483036,4523466,4557926,4599492,4649334,4698705,4802184,4904117,5002933,5078019,5204889,5193434,5212438,5228129,5239365,5243258,5247083,5235377
Cuba,CUB,"Population, total",SP.POP.TOTL,11013983,11064097,11110004,11150736,11186542,11217998,11244885,11266941,11284253,11296233,11303687,11309754,11318602,11333051,11354651,11382146,11412167,11439767,11461432,11475982
Curacao,CUW,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,"Population, total",SP.POP.TOTL,146956,144472,139428,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159663
Cyprus,CYP,"Labor force, total",SL.TLF.TOTL.IN,412582,421285,432165,445064,465087,475466,494612,509338,518104,531751,546653,557592,570712,585472,585620,589187,593803,604597,604351,611515
Cyprus,CYP,"Population, total",SP.POP.TOTL,891192,908704,926050,943286,960282,976966,993563,1010410,1027658,1045509,1063712,1081563,1098076,1112607,1124835,1135062,1143896,1152309,1160985,1170125
Czech Republic,CZE,"Labor force, total",SL.TLF.TOTL.IN,5134661,5155929,5184005,5153263,5132262,5133854,5128040,5124920,5180535,5186107,5185902,5205303,5249751,5241295,5232517,5269165,5321932,5322708,5336207,5387517
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10304131,10294373,10283860,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332
Denmark,DNK,"Labor force, total",SL.TLF.TOTL.IN,2857119,2845775,2878797,2863199,2854562,2890599,2870437,2898633,2900837,2931220,2930831,2962829,2952579,2929869,2928221,2911871,2894562,2907004,2931381,3024435
Denmark,DNK,"Population, total",SP.POP.TOTL,5284991,5304219,5321799,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010
Djibouti,DJI,"Labor force, total",SL.TLF.TOTL.IN,237855,245971,254302,262452,268843,275003,281010,287008,293218,299773,306647,313811,321277,329048,337239,345705,354387,363137,371861,379954
Djibouti,DJI,"Population, total",SP.POP.TOTL,660953,680612,700099,717584,732711,746221,758615,770752,783254,796208,809402,822934,836840,851146,865937,881185,896688,912164,927414,942333
Dominica,DMA,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,"Population, total",SP.POP.TOTL,70753,70290,69903,69676,69670,69824,70093,70379,70627,70807,70950,71074,71229,71440,71718,72044,72400,72778,73162,73543
Dominican Republic,DOM,"Labor force, total",SL.TLF.TOTL.IN,3345785,3429412,3512416,3593219,3677606,3760797,3837522,3916749,4004812,4094178,4186049,4177682,4163546,4333627,4512646,4614844,4700862,4810133,4918081,5004117
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,8163472,8296375,8429112,8562622,8697126,8832285,8967760,9102998,9237566,9371338,9504353,9636520,9767758,9897985,10027095,10154950,10281296,10405844,10528394,10648791
East Asia & Pacific,EAS,"Labor force, total",SL.TLF.TOTL.IN,1072335774,1086767488,1101617063,1117548732,1129896288,1141835723,1153614184,1164961252,1176127253,1185885659,1196091052,1204998616,1212857811,1219151532,1228009129,1234987880,1241357013,1248264185,1250894661,1257025739
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,1986799861,2008140141,2028095314,2047150745,2065521836,2082953527,2099545576,2115557365,2131363078,2147029631,2162104019,2177421759,2192352319,2207154641,2221934584,2237082761,2252311022,2267745366,2283108073,2298726779
East Asia & Pacific (excluding high income),EAP,"Labor force, total",SL.TLF.TOTL.IN,955417644,969754554,984197671,999391535,1011022039,1022540762,1034092261,1044896178,1055259204,1064090032,1073093141,1081252938,1088858707,1094622416,1103275124,1109620006,1114851227,1120401625,1122000873,1127073901
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,1759201938,1779221736,1798083668,1815956211,1833033752,1849372898,1865072190,1880346879,1895491197,1910175419,1924328623,1938363936,1952308448,1966231608,1980303926,1994651365,2009173000,2023837097,2038410865,2053299126
Ecuador,ECU,"Labor force, total",SL.TLF.TOTL.IN,5022628,5346736,5471310,5597194,5717835,5839780,6069549,6230809,6392897,6648766,6715958,6775402,6828569,6731008,6794068,7005377,7085380,7207342,7627599,8002328
Ecuador,ECU,"Population, total",SP.POP.TOTL,11924993,12163885,12398691,12628596,12852755,13072060,13289601,13509647,13735233,13967480,14205453,14447562,14691275,14934690,15177355,15419666,15661547,15903112,16144368,16385068
"Egypt, Arab Rep.",EGY,"Labor force, total",SL.TLF.TOTL.IN,18488736,18773905,19957106,20449217,20823211,21206688,22074281,22954071,23825225,24616731,25778898,26560782,27333918,28162941,28501607,29133980,29844308,29973127,30077388,30468857
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,66151117,67378056,68626664,69905988,71226940,72590118,73981942,75381899,76778149,78159048,79537253,80953881,82465022,84107606,85897561,87813257,89807433,91812566,93778172,95688681
El Salvador,SLV,"Labor force, total",SL.TLF.TOTL.IN,2170268,2264176,2280916,2286261,2292067,2296477,2377655,2352656,2396792,2449709,2503009,2531134,2559701,2584933,2632911,2684452,2741574,2762233,2779506,2799818
El Salvador,SLV,"Population, total",SP.POP.TOTL,5727755,5778706,5825187,5867626,5905962,5940303,5971535,6000775,6028961,6056478,6083475,6110301,6137276,6164626,6192560,6221246,6250777,6281189,6312478,6344722
Equatorial Guinea,GNQ,"Labor force, total",SL.TLF.TOTL.IN,187443,195349,204040,213728,220821,230450,241551,252557,265682,278354,291958,306856,324574,344590,359824,376134,395446,415715,438146,455294
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,544636,566673,589938,614323,639762,666407,694611,724817,757317,792217,829327,868418,909111,951104,994290,1038593,1083746,1129424,1175389,1221490
Eritrea,ERI,"Labor force, total",SL.TLF.TOTL.IN,1386411,1424688,1470284,1521754,1583728,1652054,1723551,1793415,1858825,1907909,1951581,1991937,2029155,2066409,2105357,2144964,2186318,2230090,2277334,2335770
Eritrea,ERI,"Population, total",SP.POP.TOTL,3161350,3224223,3302263,3392801,3497124,3614639,3738265,3858623,3969007,4066648,4153332,4232636,4310334,4390840,4474690,..,..,..,..,..
Estonia,EST,"Labor force, total",SL.TLF.TOTL.IN,695466,680741,673723,679287,669046,654674,677798,678254,673834,693423,692026,697830,690487,683977,687789,684718,680940,676070,686173,694110
