Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
Angola,AGO,Rural population,SP.RUR.TOTL,4885711,4934184,4980158,5019278,5043512,5049018,5031680,4998127,4967545,4965496,5009343,5096483,5220353,5372338,5530674,5680449,5816910,5945021,6067247,6189240,6314523,6442576,6570391,6696837,6820226,6939726,7054518,7164149,7266950,7361871,7447422,7523275,7589483,7647465,7697136,7785748,7870569,7952572,8031535,8108446,8183472,8256988,8328556,8400212,8473617,8550785,8712011,8879762,9050985,9223200,9393181,9560379,9724804,9885476,10040932,10192857,10340319,10483867,10625055,10764270,10903000,11042000,11180000,11319000,11458000,11597000,11738000,11879000,12021000,12164000,12309000,12454000,12601000,12748000,12896000,13046000,13196000,13348000,13501000,13657000,13816000,13971000,14122000,14270000,14414000,14554000,14689000,14820000,14946000,15067000,15184000
Angola,AGO,Rural population (% of total population),SP.RUR.TOTL.ZS,89.565,89.202,88.796,88.376,87.942,87.496,87.035,86.559,86.068,85.564,85.043,84.368,83.545,82.69,81.798,80.872,79.908,78.912,77.878,76.808,75.702,74.563,73.388,72.179,70.935,69.662,68.357,67.022,65.657,64.269,62.856,61.42,59.961,58.489,57,55.831,54.654,53.475,52.29,51.103,49.913,48.726,47.539,46.355,45.173,44,43.236,42.476,41.718,40.966,40.217,39.472,38.732,37.998,37.269,36.554,35.851,35.161,34.486,33.823,33.175,32.54,31.919,31.312,30.719,30.14,29.575,29.024,28.487,27.963,27.454,26.958,26.476,26.007,25.552,25.111,24.683,24.269,23.868,23.482,23.11,22.742,22.377,22.017,21.661,21.309,20.961,20.618,20.279,19.943,19.612
Antigua and Barbuda,ATG,Rural population,SP.RUR.TOTL,32665,33529,34383,35259,36192,37209,38338,39551,40746,41787,42473,42541,42342,41973,41573,41229,40977,40791,40660,40555,40449,40357,40293,40248,40198,40148,40077,40003,39988,40091,40377,40894,41851,42946,44130,45349,46602,47883,49166,50412,51594,52705,53947,55142,56366,57663,59046,60497,61994,63482,64931,66312,67331,68317,69260,70174,71041,71843,72601,73318,74000,75000,75000,76000,76000,77000,77000,78000,78000,79000,79000,79000,79000,80000,80000,80000,80000,80000,80000,80000,79000,79000,79000,79000,79000,78000,78000,78000,77000,77000,77000
Antigua and Barbuda,ATG,Rural population (% of total population),SP.RUR.TOTL.ZS,60.344,60.96,61.573,62.183,62.789,63.39,63.988,64.582,65.171,65.755,66.181,66.102,66.022,65.943,65.863,65.783,65.703,65.623,65.543,65.462,65.382,65.302,65.221,65.14,65.06,64.979,64.898,64.817,64.736,64.655,64.574,64.535,64.915,65.291,65.666,66.039,66.41,66.779,67.145,67.51,67.873,68.26,68.902,69.536,70.163,70.782,71.394,71.998,72.595,73.182,73.762,74.297,74.474,74.65,74.825,75,75.154,75.287,75.401,75.494,75.567,75.62,75.654,75.668,75.662,75.637,75.592,75.527,75.442,75.337,75.213,75.067,74.902,74.715,74.507,74.278,74.027,73.754,73.459,73.141,72.799,72.434,72.066,71.695,71.321,70.944,70.564,70.181,69.796,69.407,69.016
Arab World,ARB,Rural population,SP.RUR.TOTL,63400576,64431688,65477725,66521133,67557423,68572508,69660117,70898252,72139770,73364488,74556366,75735639,76871178,78045879,79402522,80940825,82668095,84584509,86607834,88669228,90683691,92644216,94577772,96435526,98195581,99977822,101746872,103614191,105617096,107709816,110446651,112574753,114664118,116867443,119265280,121755531,124158394,126415328,128531582,130621384,132731957,134837870,136973271,139111085,141291864,143402949,145536670,148138437,150318613,152482990,154586981,156913797,159354716,161751073,164114145,166207258,168295267,170355303,172427227,174564024,176738000,178971000,181242000,183487000,185629000,187610000,189416000,191061000,192558000,193929000,195195000,196358000,197407000,198354000,199204000,199962000,200642000,201235000,201739000,202145000,202455000,202667000,202778000,202823000,202785000,202678000,202486000,202228000,201885000,201468000,200969000
Arab World,ARB,Rural population (% of total population),SP.RUR.TOTL.ZS,68.7658574626,68.0200807336137,67.2708714830974,66.4984028655846,65.6964025352427,64.8523004269456,64.0502101452474,63.3589396717215,62.6560399366045,61.9437904754245,61.2193349183997,60.508762460204,59.7760002367208,59.0535050653709,58.4047127527538,57.7980925672302,57.2282588809027,56.7065154796543,56.1982826524423,55.6902621478495,55.1534239819254,54.5932631303342,54.0253642801394,53.4251087064221,52.7833042759061,52.1667885719644,51.5596590936029,51.0201171834769,50.5611832537521,50.1549820386976,49.6047515097874,49.2169467637464,49.2212894390834,48.848790775741,48.5905754824001,48.1043164312664,47.9374268351244,47.7359285931963,47.5029846898911,47.2591516920329,47.0106978036315,46.748555642399,46.4843761606991,46.1988331789349,45.8944194778095,45.5296904456764,45.1342618171994,44.8509242761973,44.4209242635878,43.990229950842,43.5591208066638,43.2080521101597,42.9014625590548,42.599061512171,42.3075198735281,41.9685333240976,41.6547245177312,41.3585163064466,41.0745811133247,40.7983531267269,40.5283489398686,40.2622538536642,39.9981971005729,39.7312340619032,39.4568240894453,39.171816091786,38.8757572444508,38.5692198029356,38.2532092190269,37.9300183362965,37.6002649960704,37.2644447919474,36.9217511563229,36.5722805506285,36.2157914272157,35.8531960766032,35.484593675997,35.1103593074726,34.7305183563078,34.3453696229845,33.9545852623211,33.5589211772576,33.1586711095195,32.758318302293,32.3580524755382,31.9582586152796,31.5584362730429,31.1596054828883,30.7610693859515,30.3633651074501,29.9670394488846
Argentina,ARG,Rural population,SP.RUR.TOTL,5404937,5367316,5337550,5305827,5271908,5236547,5198821,5159781,5119955,5081215,5043574,5016635,4993994,4971706,4948089,4922516,4894161,4864372,4833374,4803036,4773933,4728848,4676523,4625159,4573268,4520960,4468234,4414778,4359864,4303671,4245644,4191771,4177083,4160659,4142082,4122262,4100563,4077784,4053893,4028898,4003430,3977685,3952815,3928383,3903086,3877236,3850408,3823185,3795591,3768543,3732551,3717660,3705497,3693179,3679391,3664923,3649822,3634137,3617403,3599141,3578000,3556000,3533000,3509000,3484000,3459000,3433000,3406000,3378000,3350000,3321000,3291000,3261000,3229000,3198000,3166000,3133000,3100000,3067000,3034000,3000000,2965000,2930000,2896000,2861000,2826000,2792000,2757000,2722000,2687000,2652000
Argentina,ARG,Rural population (% of total population),SP.RUR.TOTL.ZS,26.389,25.783,25.233,24.691,24.156,23.631,23.112,22.602,22.099,21.606,21.12,20.679,20.257,19.842,19.433,19.031,18.634,18.245,17.861,17.484,17.113,16.687,16.241,15.806,15.379,14.962,14.555,14.157,13.767,13.387,13.016,12.672,12.458,12.248,12.04,11.836,11.634,11.436,11.241,11.048,10.858,10.671,10.49,10.314,10.14,9.96899999999999,9.8,9.634,9.47,9.309,9.151,9.01000000000001,8.879,8.751,8.623,8.497,8.373,8.251,8.13,8.009,7.889,7.771,7.65300000000001,7.53700000000001,7.42100000000001,7.307,7.194,7.081,6.97,6.86,6.751,6.643,6.536,6.43000000000001,6.32599999999999,6.223,6.12,6.01900000000001,5.92,5.821,5.724,5.627,5.532,5.43899999999999,5.34699999999999,5.256,5.167,5.07899999999999,4.99299999999999,4.908,4.824
Armenia,ARM,Rural population,SP.RUR.TOTL,913165,929062,944095,957992,970441,981339,990462,997848,1003798,1008766,1013461,1018082,1021895,1024755,1026287,1030813,1033920,1035804,1036537,1041606,1052366,1062199,1070940,1079262,1088092,1097858,1109406,1121848,1131795,1142635,1152701,1151477,1140330,1123076,1105545,1092064,1084134,1080790,1081015,1082795,1084609,1086502,1085072,1082321,1079119,1075105,1069753,1063397,1057210,1052998,1051948,1054539,1060243,1067354,1074327,1079968,1083966,1086546,1087759,1087883,1087000,1085000,1083000,1079000,1074000,1068000,1060000,1052000,1043000,1033000,1022000,1010000,998000,985000,971000,956000,941000,925000,909000,893000,877000,861000,846000,830000,815000,800000,785000,770000,755000,740000,725000
Armenia,ARM,Rural population (% of total population),SP.RUR.TOTL.ZS,48.725,47.853,46.981,46.111,45.242,44.378,43.517,42.659,41.805,40.958,40.136,39.343,38.555,37.775,37,36.389,35.781,35.179,34.581,34.161,33.95,33.741,33.533,33.325,33.117,32.91,32.704,32.499,32.294,32.31,32.579,32.85,33.122,33.394,33.668,33.943,34.219,34.496,34.774,35.053,35.334,35.615,35.764,35.863,35.962,36.062,36.161,36.261,36.36,36.46,36.56,36.66,36.76,36.836,36.888,36.915,36.918,36.897,36.851,36.781,36.687,36.569,36.427,36.261,36.071,35.858,35.622,35.363,35.081,34.777,34.452,34.105,33.737,33.349,32.942,32.516,32.072,31.612,31.137,30.665,30.196,29.732,29.272,28.816,28.364,27.917,27.474,27.036,26.601,26.172,25.747
Aruba,ABW,Rural population,SP.RUR.TOTL,26685,27297,27693,27934,28108,28278,28462,28639,28811,28988,29163,29358,29565,29773,29923,29996,29971,29871,29750,29698,29764,30007,30402,30836,31160,31264,31084,30691,30326,30312,30876,32115,34119,36551,38981,41152,42968,44481,45789,47060,48409,49850,51322,52771,54068,55142,55952,56536,56980,57402,57891,58227,58503,58811,59109,59362,59576,59750,59897,60019,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,59000,59000,59000,58000,58000,58000,57000,57000,56000,56000,55000,55000,54000,54000,53000,52000,52000,51000,51000,50000,49000
Aruba,ABW,Rural population (% of total population),SP.RUR.TOTL.ZS,49.224,49.239,49.254,49.27,49.285,49.3,49.315,49.33,49.346,49.361,49.376,49.391,49.407,49.422,49.437,49.452,49.468,49.483,49.498,49.513,49.528,49.544,49.559,49.574,49.589,49.605,49.62,49.635,49.65,49.665,49.681,49.696,50.002,50.412,50.823,51.233,51.644,52.054,52.464,52.873,53.283,53.661,54.028,54.394,54.76,55.125,55.489,55.853,56.217,56.579,56.941,57.06,57.043,57.01,56.959,56.892,56.808,56.707,56.589,56.454,56.303,56.134,55.948,55.746,55.526,55.289,55.035,54.764,54.476,54.17,53.848,53.508,53.151,52.777,52.386,51.979,51.554,51.113,50.672,50.231,49.789,49.348,48.906,48.465,48.024,47.584,47.143,46.704,46.264,45.826,45.387
Australia,AUS,Rural population,SP.RUR.TOTL,1898168,1893125,1909068,1915045,1921617,1928216,1941057,1946009,1960830,1982191,2001245,2049221,2066154,2076844,2108402,2112847,2112387,2114608,2117518,2118609,2122700,2134561,2175007,2206835,2236626,2271988,2314338,2354687,2398326,2444309,2485873,2522945,2574389,2622313,2673251,2729233,2789315,2844952,2899644,2958134,3019470,3086667,3100598,3115023,3127194,3144470,3166779,3161213,3199492,3240089,3264665,3283984,3318631,3353116,3380029,3405449,3435109,3467878,3494578,3519551,3529000,3537000,3541000,3543000,3543000,3541000,3537000,3530000,3522000,3511000,3499000,3484000,3467000,3449000,3429000,3407000,3383000,3358000,3332000,3304000,3275000,3244000,3213000,3181000,3150000,3119000,3087000,3056000,3025000,2994000,2963000
Australia,AUS,Rural population (% of total population),SP.RUR.TOTL.ZS,18.471,18.059,17.772,17.489,17.208,16.932,16.66,16.493,16.328,16.164,16.001,15.84,15.68,15.522,15.364,15.208,15.053,14.9,14.748,14.597,14.448,14.3,14.33,14.359,14.389,14.418,14.448,14.478,14.507,14.537,14.567,14.597,14.715,14.843,14.972,15.102,15.233,15.364,15.497,15.63,15.765,15.9,15.778,15.657,15.537,15.418,15.3,15.178,15.057,14.937,14.818,14.7,14.598,14.498,14.398,14.299,14.2,14.096,13.988,13.876,13.759,13.638,13.512,13.383,13.25,13.113,12.972,12.828,12.681,12.53,12.377,12.22,12.061,11.9,11.736,11.57,11.401,11.231,11.06,10.886,10.712,10.536,10.36,10.187,10.016,9.84699999999999,9.681,9.518,9.357,9.19799999999999,9.042
Austria,AUT,Rural population,SP.RUR.TOTL,2486372,2493385,2505220,2517777,2531075,2544011,2558257,2573835,2583601,2588892,2594215,2602592,2617008,2630789,2634510,2626772,2621379,2621628,2618751,2613535,2612783,2621498,2643375,2659070,2679016,2700321,2722325,2744348,2768641,2801639,2843876,2893427,2946774,2992756,3026042,3052457,3078548,3103950,3129454,3157687,3187562,3222225,3260666,3299328,3342824,3388796,3428840,3463449,3497858,3530644,3562894,3598756,3612504,3617832,3629979,3654565,3677700,3686708,3686762,3682651,3676000,3663000,3645000,3624000,3601000,3578000,3555000,3530000,3505000,3478000,3449000,3418000,3385000,3351000,3315000,3278000,3239000,3198000,3157000,3113000,3069000,3023000,2976000,2928000,2881000,2833000,2785000,2738000,2691000,2644000,2598000
Austria,AUT,Rural population (% of total population),SP.RUR.TOTL.ZS,35.28,35.186,35.137,35.087,35.038,34.989,34.939,34.89,34.841,34.792,34.742,34.699,34.689,34.679,34.669,34.659,34.649,34.639,34.629,34.619,34.609,34.636,34.9,35.164,35.43,35.695,35.963,36.231,36.5,36.769,37.04,37.311,37.583,37.856,38.13,38.404,38.68,38.955,39.232,39.509,39.787,40.066,40.345,40.625,40.906,41.187,41.468,41.751,42.034,42.317,42.601,42.885,42.853,42.664,42.474,42.285,42.095,41.906,41.703,41.485,41.252,41.005,40.744,40.47,40.181,39.878,39.562,39.233,38.891,38.536,38.169,37.789,37.397,36.994,36.579,36.154,35.718,35.273,34.818,34.354,33.882,33.403,32.918,32.428,31.941,31.458,30.978,30.503,30.032,29.565,29.102
Azerbaijan,AZE,Rural population,SP.RUR.TOTL,1843964,1919884,1999615,2081445,2163098,2242847,2319968,2394615,2467071,2537840,2589597,2617851,2643249,2666368,2694803,2729428,2763448,2797066,2830491,2866096,2904561,2943614,2983147,3023504,3062456,3100031,3138706,3178243,3218023,3274303,3311109,3385305,3459796,3535841,3607435,3672969,3734314,3794654,3855372,3896779,3912746,3926875,3939942,3953356,3971421,3995444,4022610,4051232,4119674,4188204,4218775,4252916,4286937,4318074,4345898,4369801,4388966,4400516,4405307,4407153,4409000,4406000,4399000,4386000,4370000,4350000,4326000,4299000,4269000,4236000,4200000,4162000,4121000,4079000,4035000,3989000,3942000,3893000,3845000,3795000,3744000,3692000,3639000,3585000,3531000,3476000,3420000,3364000,3308000,3252000,3196000
Azerbaijan,AZE,Rural population (% of total population),SP.RUR.TOTL.ZS,47.337,47.636,47.936,48.236,48.536,48.836,49.136,49.436,49.737,50.037,49.992,49.538,49.083,48.629,48.302,48.103,47.904,47.706,47.508,47.345,47.223,47.103,46.982,46.861,46.701,46.502,46.303,46.105,45.906,45.943,46.251,46.559,46.868,47.176,47.485,47.794,48.104,48.412,48.722,48.815,48.614,48.413,48.213,48.012,47.811,47.611,47.411,47.21,47.01,46.81,46.594,46.363,46.117,45.855,45.578,45.286,44.979,44.657,44.32,43.969,43.603,43.224,42.83,42.423,42.003,41.569,41.123,40.665,40.195,39.713,39.221,38.718,38.206,37.686,37.158,36.624,36.093,35.564,35.039,34.518,34,33.486,32.977,32.471,31.969,31.471,30.977,30.488,30.003,29.523,29.047
"Bahamas, The",BHS,Rural population,SP.RUR.TOTL,44129,45526,46992,48483,49951,51341,52639,53829,54867,55698,56294,56637,56761,56746,56682,56637,56625,56635,56658,56679,56645,56323,55991,55630,55211,54718,54145,53503,52821,52149,51660,52027,52426,52810,53128,53344,53445,53460,53438,53449,53628,54323,55096,55944,56840,57766,58725,59711,60684,61583,62374,63012,63511,63902,64238,64566,64883,65186,65462,65698,66000,66000,66000,66000,66000,66000,66000,66000,66000,65000,65000,65000,65000,64000,64000,63000,63000,62000,61000,61000,60000,60000,59000,58000,58000,57000,56000,56000,55000,54000,54000
"Bahamas, The",BHS,Rural population (% of total population),SP.RUR.TOTL.ZS,40.288,39.546,38.807,38.074,37.358,36.657,35.96,35.27,34.584,33.907,33.236,32.571,31.912,31.262,30.619,29.983,29.353,28.734,28.121,27.516,26.898,26.157,25.429,24.715,24.013,23.326,22.653,21.993,21.346,20.716,20.162,19.933,19.707,19.482,19.26,19.039,18.82,18.604,18.389,18.176,17.993,17.951,17.908,17.866,17.824,17.782,17.74,17.698,17.657,17.615,17.573,17.524,17.468,17.404,17.332,17.254,17.168,17.075,16.975,16.868,16.755,16.635,16.508,16.375,16.236,16.09,15.939,15.782,15.619,15.451,15.278,15.099,14.916,14.728,14.535,14.339,14.139,13.94,13.745,13.551,13.36,13.171,12.984,12.8,12.618,12.438,12.26,12.084,11.911,11.74,11.571
Bahrain,BHR,Rural population,SP.RUR.TOTL,28717,29655,30551,31403,32208,32800,33061,33293,33559,33944,34495,35204,36058,37117,38439,40048,41978,44160,46389,48396,50021,51191,51984,52562,53143,53876,54805,55865,56968,57976,58817,59494,60688,62227,63796,65456,67212,69119,71318,73992,77281,81131,85475,90463,96270,102947,110678,119255,127849,135348,141036,144495,146088,146823,148104,150917,155554,161569,168134,174063,179000,181000,183000,184000,184000,184000,184000,185000,185000,185000,185000,184000,183000,183000,182000,180000,179000,178000,177000,175000,174000,172000,171000,169000,168000,166000,164000,163000,161000,159000,157000
